Image,Name,DMG,SPD,PWR,BDMG 0,BDMG 1,BDMG 2,BDMG 3,HDMG 0,HDMG 1,HDMG 2,HDMG 3,Spread Base,Aim Mod,ADS Mod,Fire Base,Crouch Mod,Prone Mod,Walk Mod,Run Mod,Jump Mod,Base,Base Aim,Base ADS,Recoil Gain,Recoil Gain Aim,Recoil Gain ADS,Max Limit,Move Modifier,Velocity Reference,Prone Mode,Vert Clamp,Vert Speed,Recovery Clamp,Recovery Max,Recovery Mod,HOR Speed,HOR Tendency,Left Max,Right Max,Recoil Speed,Recovery Speed,Pattern Scale,Value Climb,Value Fall,Sway Pitch,Sway Yaw,Sway Movement,DOF Range,DOF Near Range,DOF Power,Pickup Delay,Ready Delay
 ,Mk47 Mutant, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Molotov Cocktail, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,P18C, , , , , , , , , , , , , , , , , , , , ,2.50,1.50,0.03,0.80,0.33,0.03,4.00,0 - 1.5,160 - 480,0.60, , , , , , , , , , , , , , , , , , , , , , 
 ,P1911, , , , , , , , , , , , , , , , , , , , ,2.50,1.50,0.02,0.80,0.38,0.03,4.00,0 - 1.50,160 - 480,0.60, , , , , , , , , , , , , , , , , , , , , , 
 ,P92, , , , , , , , , , , , , , , , , , , , ,2.50,1.50,0.03,0.80,0.33,0.03,4.00,0 - 0.15,160 - 480,0.60, , , , , , , , , , , , , , , , , , , , , , 
 ,PP-19 Bizon, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,QBU, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,QBZ95, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,R1895, , , , , , , , , , , , , , , , , , , , ,2.70,1.50,0.03,0.80,0.70,0.03,4.00,0 - 1.50,160 - 480,0.60, , , , , , , , , , , , , , , , , , , , , , 
 ,R45, , , , , , , , , , , , , , , , , , , , ,2.70,1.50,0.03,0.80,0.70,0.03,4.00,0 - 1.50,160 - 480,0.60, , , , , , , , , , , , , , , , , , , , , , 
 ,S12K, , , , , , , , , , , , , , , , , , , , ,1.50,0.80,0.01,1.00,0.60,0.50,7.00,0 - 2,0 - 300,0.60, , , , , , , , , , , , , , , , , , , , , , 
 ,S1897, , , , , , , , , , , , , , , , , , , , ,1.50,0.90,0.01,1.00,0.60,0.01,7.00,0 - 2,0 - 400,0.60, , , , , , , , , , , , , , , , , , , , , , 
 ,S686, , , , , , , , , , , , , , , , , , , , ,1.50,0.90,0.01,1.00,0.60,0.01,7.00,0 - 2.00,0 - 400,0.60, , , , , , , , , , , , , , , , , , , , , , 
 ,SCAR-L, , , , , , , , , , , , , , , , , , , , ,3.0,1.20,0.01,1.30,0.80,0.02,8.00,0 - 3,0 - 300,0.60, , , , , , , , , , , , , , , , , , , , , , 
 ,SKS, , , , , , , , , , , , , , , , , , , , ,3.10,1.40,0.068,1.40,0.90,0.022,8.00,0 - 3.5,0 - 300,0.60, , , , , , , , , , , , , , , , , , , , , , 
 ,SLR, , , , , , , , , , , , , , , , , , , , ,3.5,1.6,0.005,1.7,0.9,0.022,8,3.5,300,0.7, , , , , , , , , , , , , , , , , , , , , , 
 ,Sawed-off, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Skorpion, , , , , , , , , , , , , , , , , , , , ,2.5,2.2,0.2,1.20,0.85,0.15,7.00,2.00,150 - 400,0.69, , , , , , , , , , , , , , , , , , , , , , 
 ,Smoke Grenade, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Stun Grenade, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Tommy Gun, , , , , , , , , , , , , , , , , , , , ,2.25,1.80,0.07,1.20,0.65,0.15,7.00,0 - 2,150 - 400,0.65, , , , , , , , , , , , , , , , , , , , , , 
 ,UMP45, , , , , , , , , , , , , , , , , , , , ,2.30,2.00,0.20,1.00,0.85,0.15,7.00,0 - 2,150 - 400,0.69, , , , , , , , , , , , , , , , , , , , , , 
 ,VSS Vintorez, , , , , , , , , , , , , , , , , , , , ,3.10,1.40,0.05,1.40,0.90,0.02,8.00,0 - 3.5,0 - 300,0.60, , , , , , , , , , , , , , , , , , , , , , 
 ,Vector, , , , , , , , , , , , , , , , , , , , ,2.10,1.40,0.48,1.00,0.80,0.33,10.00,0 - 2.5,50 - 220,0.65, , , , , , , , , , , , , , , , , , , , , , 
 ,Winchester  Model 1894, , , , , , , , , , , , , , , , , , , , ,-,-,-,-,-,-,-,-,-,-, , , , , , , , , , , , , , , , , , , , , , 
 ,AKM, , , , , , , , , , , , , , , ,0.84,0.60, , , , , , , , , , , , , ,0.05 - 8.00,15.00,9.50,15.00,0.55,12.00,- 0.10,- 0.60,0.60,12.00,6.00,0.73,0.65,2.10, , , , , , , , 
 ,AUG A3, , , , , , , , , , , , , , , ,0.80,0.60, , , , , , , , , , , , , ,0 - 7.00,14.00,10.00,15.00,0.50,11.20,-0.03,-0.70,0.70,12.00,6.00,0.70,0.72,2.30, , , , , , , , 
 ,AWM, , , , , , , , , , , , , , , ,0.80,0.60, , , , , , , , , , , , , ,0 - 7.00,15.00,8.00,15.00,0.60,7.00,0.10,-0.80,0.80,19.00,4.00,0.50,0.70,3.00, , , , , , , , 
 ,Beryl M762, , , , , , , , , , , , , , , ,0.88,0.7, , , , , , , , , , , , , , ,15,4.5,2,0.55,10, , , , ,8.2, ,0.7,2.15, , , , , , , , 
 ,C4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Crossbow, , , , , , , , , , , , , , , ,0.80,0.60, , , , , , , , , , , , , ,8.00,0.50,5.00,8.00,0.50,5.00,0.00,-1.00,1.00,8.00,3.00,0.52,1.00,1.00, , , , , , , , 
 ,DP-28, , , , , , , , , , , , , , , ,0.60,0.15, , , , , , , , , , , , , ,0.05 - 8.00,15.00,5.00,9.00,0.55,12.00,-0.10,-0.62,0.62,12.00,6.00,0.73,0.65,2.10, , , , , , , , 
 ,Deagle, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Flare Gun, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Frag Grenade, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,G36C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Groza, , , , , , , , , , , , , , , ,0.80,0.60, , , , , , , , , , , , , ,0.05 - 8,14.00,9.50,15.00,0.55,11.00,0.00,- 0.65,0.65,12.00,6.00,0.73,0.65,2.10, , , , , , , , 
 ,Karabiner 98  Kurz, , , , , , , , , , , , , , , ,0.80,0.60, , , , , , , , , , , , , ,0 - 7.00,15.00,8.00,15.00,0.60,7.00,+0.10,-0.80,0.80,19.00,4.00,0.40,0.70,3.00, , , , , , , , 
 ,M16A4, , , , , , , , , , , , , , , ,0.80,0.60, , , , , , , , , , , , , ,0.05 - 7,11.00,9.50,15.00,0.52,11.00,+0.00,-0.55,0.55,12.00,5.00,0.71,0.80,2.20, , , , , , , , 
 ,M249, , , , , , , , , , , , , , , ,0.40,0.20, , , , , , , , , , , , , ,0.05 - 7.00,15.00,5.50,20.00,0.60,10.00,+0.00,-0.50,0.50,12.00,6.00,0.75,0.75,2.10, , , , , , , , 
 ,M416, , , , , , , , , , , , , , , ,0.80,0.60, , , , , , , , , , , , , ,0.05 - 7,15.00,9.50,15.00,0.50,10.00,-0.10,-0.75,0.75,12.00,6.00,0.70,0.70,2.10, , , , , , , , 
 ,MP5K, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Micro UZI, , , , , , , , , , , , , , , ,0.80,0.70, , , , , , , , , , , , , ,0 - 5,15.00,4.00,3.45,0.55,12.00,+ 0.03,- 0.35,0.35,9.00,5.00,0.60,0.40,1.44, , , , , , , , 
 ,Mini 14, , , , , , , , , , , , , , , ,0.80,0.60, , , , , , , , , , , , , ,0.05 - 3.15,11.20,8,12,0.40,11,+0.05,-0.45,0.45,12.00,5.00,0.71,1.20,3, , , , , , , , 
 ,Mk14 EBR, , , , , , , , , , , , , , , ,0.80,0.40, , , , , , , , , , , , , ,0.1 - 8,11.50,8.00,15.00,0.55,10.00,- 0.10,- 0.65,0.65,12.00,6.00,0.73,0.80,2.10, , , , , , , , 
 ,Mk47 Mutant, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Molotov Cocktail, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,P18C, , , , , , , , , , , , , , , ,0.80,0.70, , , , , , , , , , , , , ,0 - 5.00,15.00,8.00,5.00,0.20,12.00,0.00,-0.32,0.355,24.00,5.50,1.00,1.00,2.50, , , , , , , , 
 ,P1911, , , , , , , , , , , , , , , ,0.80,0.70, , , , , , , , , , , , , ,0 - 5.00,15.00,8.00,5.00,0.20,12.00,+0.00,-0.30,0.30,24.00,5.00,1.00,1.20,2.50, , , , , , , , 
 ,P92, , , , , , , , , , , , , , , ,0.80,0.70, , , , , , , , , , , , , ,0 - 5.00,15.00,8.00,5.00,0.20,12.00,+0.00,-0.30,0.30,24.00,5.00,1.00,1.00,2.50, , , , , , , , 
 ,PP-19 Bizon, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,QBU, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,QBZ95, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,R1895, , , , , , , , , , , , , , , ,0.80,0.70, , , , , , , , , , , , , ,0 - 5,15.00,8.00,5.00,0.20,12.00,+0.00,-0.30,0.30,23.00,5.00,1.00,1.20,2.50, , , , , , , , 
 ,R45, , , , , , , , , , , , , , , ,0.80,0.70, , , , , , , , , , , , , ,0 - 5.00,15.00,8.00,5.00,0.20,12.00,+0.00,-0.30,0.30,23.00,5.00,1.00,1.20,1.90, , , , , , , , 
 ,S12K, , , , , , , , , , , , , , , ,0.85,0.75, , , , , , , , , , , , , ,0 - 9,15.00,8.00,15.00,0.30,16.00,+0.10,-1.50,1.50,22.00,3.00,1.00,1.80,3.00, , , , , , , , 
 ,S1897, , , , , , , , , , , , , , , ,0.80,0.60, , , , , , , , , , , , , ,0.1 - 5,12.00,6.00,8.00,0.33,8.00,+0.00,-1.00,1.00,60.00,6.50,1.00,1.00,2.00, , , , , , , , 
 ,S686, , , , , , , , , , , , , , , ,0.80,0.60, , , , , , , , , , , , , ,0.1 - 5.00,12.00,6.00,8.00,0.33,8.00,0.00,- 1.00,1.00,40.00,5.00,1.00,1.00,2.00, , , , , , , , 
 ,SCAR-L, , , , , , , , , , , , , , , ,0.80,0.60, , , , , , , , , , , , , ,0 - 7,15.00,10.00,15.00,0.50,11.00,+ 0.10,- 0.80,0.80,12.00,6.00,0.70,0.75,2.20, , , , , , , , 
 ,SKS, , , , , , , , , , , , , , , ,0.80,0.60, , , , , , , , , , , , , ,0.1 - 8,9.00,8.00,15.00,0.55,6.00,- 0.10,- 0.65,0.65,12.00,6.00,0.73,0.80,2.00, , , , , , , , 
 ,SLR, , , , , , , , , , , , , , , ,-,-, , , , , , , , , , , , , ,-,-,-,-,-,-,-,-,-,-,-,-,-,-, , , , , , , , 
 ,Sawed-off, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Skorpion, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0 - 5.00,15.00,4.00,3.00,0.55,14.00, , , , , , , , , , , , , , , , 
 ,Smoke Grenade, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Stun Grenade, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Tommy Gun, , , , , , , , , , , , , , , ,0.80,0.70, , , , , , , , , , , , , ,0 - 5,15.00,5.00,3,0.55,12.00,+ 0.03,- 0.41,0.41,9.00,5.00,0.70,0.50,1.50, , , , , , , , 
 ,UMP45, , , , , , , , , , , , , , , ,0.80,0.70, , , , , , , , , , , , , ,0 - 5,15.00,4.00,3.00,0.50,12.00,+0.00,-0.30,0.30,9.00,5.00,1.10,0.20,1.25, , , , , , , , 
 ,VSS Vintorez, , , , , , , , , , , , , , , ,0.80,0.60, , , , , , , , , , , , , ,0.1 - 8,10.50,10.00,6.00,0.30,8.00,+0.00,-0.50,0.50,12.00,6.00,0.73,0.40,2.00, , , , , , , , 
 ,Vector, , , , , , , , , , , , , , , ,0.80,0.70, , , , , , , , , , , , , ,0 - 5,15.00,5.00,1.50,0.40,18.00,+0.00,-0.50,0.50,9.00,5.00,0.60,0.50,1.50, , , , , , , , 
 ,Winchester  Model 1894, , , , , , , , , , , , , , , ,-,-, , , , , , , , , , , , , ,-,-,-,-,-,-,-,-,-,-,-,-,-,-, , , , , , , , 
 ,AKM, , , , , , , , , , , , , , , ,0.50,0.20, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.00,1.00,1.50,5.00,27.00,1.00,150 ms,400 ms
 ,AUG A3, , , , , , , , , , , , , , , ,0.50,0.20, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.00,1.00,1.50,35.00,50.00,1.00,0.15,0.50
 ,AWM, , , , , , , , , , , , , , , ,0.50,0.20, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.00,1.00,1.50,33.00,60.00,2.00,150 ms,500 ms
 ,Beryl M762, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,C4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Crossbow, , , , , , , , , , , , , , , ,0.20,30.00, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.00,1.50,0.50,30.00,60.00,1.50,150ms,500ms
 ,DP-28, , , , , , , , , , , , , , , ,0.50,0.20, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.00,1.00,1.50,35.00,50.00,1.50,150 ms,400 ms
 ,Deagle, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Flare Gun, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Frag Grenade, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,G36C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Groza, , , , , , , , , , , , , , , ,0.50,0.20, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.00,1.00,1.50,35.00,50.00,1.50,150 ms,400 ms
 ,Karabiner 98  Kurz, , , , , , , , , , , , , , , ,0.50,0.20, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.00,1.00,1.50,45.00,60.00,1.50,150 ms,500 ms
 ,M16A4, , , , , , , , , , , , , , , ,0.50,0.20, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.00,1.00,1.50,35.00,50.00,1.50,150 ms,500 ms
 ,M249, , , , , , , , , , , , , , , ,0.60,0.20, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.00,10.00,2.00,35.00,50.00,1.00,150 ms,500 ms
 ,M416, , , , , , , , , , , , , , , ,0.50,0.20, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.00,1.00,1.50,35.00,50.00,1.00,150 ms,500 ms
 ,MP5K, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Micro UZI, , , , , , , , , , , , , , , ,0.50,0.20, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.00,1.00,1.50,30.00,60.00,1.50,150 ms,500 ms
 ,Mini 14, , , , , , , , , , , , , , , ,1.50,0.20, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.00,1.00, ,10,20,1.20,0.15s,0.5s
 ,Mk14 EBR, , , , , , , , , , , , , , , ,0.50,0.20, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.00,1.00,1.50,40.00,55.00,1.50,150 ms,400 ms
 ,Mk47 Mutant, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Molotov Cocktail, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,P18C, , , , , , , , , , , , , , , ,0.50,0.20, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2.00,15.00,1.50,30.00,60.00,1.50,150 ms,500 ms
 ,P1911, , , , , , , , , , , , , , , ,0.50,0.20, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2.00,15.00,1.50,30.00,60.00,1.50,150 ms,500 ms
 ,P92, , , , , , , , , , , , , , , ,0.50,0.20, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2.00,15.00,1.50,30.00,60.00,1.50,150 ms,500 ms
 ,PP-19 Bizon, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,QBU, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,QBZ95, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,R1895, , , , , , , , , , , , , , , ,0.50,0.20, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2.00,15.00,1.50,30.00,60.00,1.50,150 ms,500 ms
 ,R45, , , , , , , , , , , , , , , ,0.50,0.20, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2.00,15.00,1.50,30.00,60.00,1.50,150 ms,500 ms
 ,S12K, , , , , , , , , , , , , , , ,0.50,0.20, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.00,1.00,1.50,30.00,60.00,1.00,150 ms,500 ms
 ,S1897, , , , , , , , , , , , , , , ,0.50,0.20, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.00,1.00,1.50,30.00,60.00,1.00,150 ms,500 ms
 ,S686, , , , , , , , , , , , , , , ,0.50,0.20, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.00,1.00,1.50,30.00,60.00,1.00,150 ms,500 ms
 ,SCAR-L, , , , , , , , , , , , , , , ,0.50,0.20, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.00,1.00,1.50,35.00,50.00,1.00,150 ms,500 ms
 ,SKS, , , , , , , , , , , , , , , ,0.50,0.20, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.00,1.00,1.50,40.00,55.00,1.50,150 ms,400 ms
 ,SLR, , , , , , , , , , , , , , , ,-,-, , , , , , , , , , , , , , , , , , , , , , , , , , , ,-,-,-,40,55,1.5,-,-
 ,Sawed-off, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Skorpion, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Smoke Grenade, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Stun Grenade, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Tommy Gun, , , , , , , , , , , , , , , ,0.50,0.20, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.00,1.00,1.50,30.00,60.00,1.50,150 ms,500 ms
 ,UMP45, , , , , , , , , , , , , , , ,0.50,0.20, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2.00,10.00,1.50,30.00,60.00,1.50,150 ms,500 ms
 ,VSS Vintorez, , , , , , , , , , , , , , , ,0.50,0.20, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.00,1.00,1.50,45.00,55.00,2.00,150 ms,400 ms
 ,Vector, , , , , , , , , , , , , , , ,0.50,0.20, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.00,1.00,1.50,20.00,40.00,1.40,150 ms,500 ms
 ,Winchester  Model 1894, , , , , , , , , , , , , , , ,-,-, , , , , , , , , , , , , , , , , , , , , , , , , , , ,-,-,-,-,-,-,-,-
